Key,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,角色名不能只包含空格。,角色名不能只包含空格。,Der Name darf nicht nur Leerzeichen enthalten.,El nombre no puede contener solo espacios.,Le nom ne peut pas contenir uniquement des espaces.,A név nem tartalmazhat csak szóközt.,名前を空白のみにはできません,이름에는 공백만 포함할 수 없습니다.,Имя не может содержать только пробелы.
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,关闭当前模型,關閉當前模型,Aktuelles Modell entladen,Dejar de usar modelo actual,Décharger le modèle actuel,Töltse ki az aktuális modellt,モデルの読み込みを解除,현재 모델 언로드,Выгрузить текущую модель
MainMenu.Settings.GeneralSettings,General Settings,一般设置,一般設定,Allgemeine Einstellungen,Configuraciones generales,Paramètres généraux,Általános beállítások,一般設定,일반 설정,Общие настройки
MainMenu.Settings.GeneralSettings.Language,Language,语言,語言,Sprache,Idioma,Langue,Nyelv,言語,언어,Язык
MainMenu.Settings.ViewportSettings,Viewport Settings,视窗设置,視窗設定,Vorschau-Einstellungen,Configuración de la ventana gráfica,Paramètres de la fenêtre,Nézetablak beállításai,ビューポート設定,뷰포트 설정,Настройки видового экрана
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,模型缩放速度,模型縮放速度,Zoomgeschwindigkeit,Velocidad de zoom,Vitesse de zoom,Zoom Speed,ズーム速度,줌 속도,Скорость масштабирования
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,模型旋转速度,模型旋轉速度,Rotationsgeschwindigkeit,Velocidad de rotación,Vitesse de rotation,Forgási sebesség,回転速度,회전 속도,Скорость вращения
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,模型尺寸,模型尺寸,Modellmaßstab,Escala del model,Échelle du modèle,Modell skála,モデルスケール,모델 규모,Масштаб модели
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,位置水平偏移,位置水平偏移,Horizontaler Versatz,Desplazamiento horizontal,Décalage horizontal,Eltolás Vízszintes,水平オフセット,수평 오프셋,Смещение по горизонтали
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,位置垂直偏移,位置垂直偏移,Vertikaler Versatz,Desplazamiento vertical,Décalage vertical,Függőleges eltolás,垂直オフセット,오프셋 수직,Смещение по вертикали
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,重置视窗设置,重置視窗設定,Vorschau-Einstellungen zurücksetzen,Restablecer la configuración de la ventana gráfica,Réinitialiser les paramètres de la fenêtre,Állítsa vissza a nézetablak beállításokat,ビューポート設定をリセット,뷰포트 설정 재설정,Сбросить настройки видового экрана
MainMenu.Settings.ExportSettings,Animation Export Settings,动画输出设置,動畫輸出設定,Animationsexport-Einstellungen,Configuración de exportación de animación,Paramètres d'exportation d'animations,Animáció exportálási beállításai,アニメーション書き出し設定,애니메이션 내보내기 설정,Настройки экспорта анимации
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,保存位置,儲存位置,Speicherort,Ubicación de guardado,Enregistrer l'emplacement,Hely mentése,保存先,위치 저장,Сохранить местоположение
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,输出预置,輸出預置,Export-Voreinstellungen,Exportar ajustes preestablecidos,Exporter les préréglages,Előbeállítások exportálása,書き出しプリセット,사전 설정 내보내기,Экспорт пресетов
MainMenu.Settings.ExportSettings.Encoder,Encoder,编码器,編碼器,Encoder,Codificador,Encodeur,Kódoló,エンコーダー,인코더,Кодер
MainMenu.Settings.ExportSettings.Width,Width,宽度,寬度,Breite,Ancho,Largeur,Szélesség,幅,너비,Ширина
MainMenu.Settings.ExportSettings.Height,Height,高度,高度,Höhe,Altura,Hauteur,Magasság,高さ,키,Высота
MainMenu.Settings.ExportSettings.FPS,FPS,帧率,幀率,FPS,FPS,FPS,FPS,FPS,FPS,ФПС
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,限制最大帧数,限制最大幀數,Max. Frame-Anzahl begrenzen,Límite máximo de conteo de fotogramas,Limite Max. Nombre d'images,Limit Max. Képkockaszám,最大フレーム数を制限,최대 한도 프레임 수,Ограничение Макс. Количество кадров
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,最大帧数,最大幀數,Max. Frame-Anzahl,Conteo máximo de fotogramas,Max. Nombre d'images,Max. Képkockaszám,最大フレーム数,최대. 프레임 수,Макс. Количество кадров
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,透明阈值,透明閾值,Alpha-Schwelle,Umbral alfa,Seuil alpha,Alfa-küszöb,アルファしきい値,알파 임계값,Альфа-порог
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,使用颜色抖动,使用顏色抖動,Dithering aktivieren,Habilitar tramado,Activer le tramage,Dithering engedélyezése,ディザリングを有効化,디더링 활성화,Включить сглаживание
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,重置输出设置,重置輸出設定,Exporteinstellungen zurücksetzen,Restablecer configuración de exportación,Réinitialiser les paramètres d'exportation,Állítsa vissza az exportálási beállításokat,書き出し設定をリセット,내보내기 설정 재설정,Сбросить настройки экспорта
MainMenu.Editor.Export,Export Emote,导出动画,匯出動畫,Emote exportieren,Exportar emote,Exporter une émoticône,Export Emote,エモートを書き出し,감정 표현 내보내기,Экспортировать эмоцию
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,许可信息由模型作者提供。仅作展示，不代表 EmoteLab 开发者立场。,許可資訊由模型作者提供。僅作展示，不代表 EmoteLab 開發者立場。,Lizenz vom Modellersteller bereitgestellt. Wird nur als Referenz angezeigt und gibt nicht die Ansichten oder Rechtsposition des EmoteLab-Entwicklers wieder.,Licencia proporcionada por el creador del modelo. Se muestra solo como referencia y no representa las opiniones ni la posición legal del desarrollador de EmoteLab.,Licence fournie par le créateur du modèle. Affiché à titre de référence uniquement et ne représente pas les opinions ou la position juridique du développeur EmoteLab.,"A modell készítője által biztosított licenc. Csak referenciaként jelenik meg, és nem képviseli az EmoteLab fejlesztő nézeteit vagy jogi álláspontját.",ライセンスはモデル制作者が提供したものです。参考情報として表示されており、EmoteLab開発者の見解や法的立場を示すものではありません。,모델 작성자가 제공하는 라이선스입니다. 참고용으로만 표시되며 EmoteLab 개발자의 견해나 법적 입장을 나타내지 않습니다.,Лицензия предоставлена ​​создателем модели. Отображается только для справки и не отражает точку зрения или правовую позицию разработчика EmoteLab.
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",该第三方模型的作者未随模型提供许可协议或使用说明。在将该模型用于公开、商业或专业场景前，建议您自行与模型作者确认其允许的使用范围。,該第三方模型的作者未隨模型提供許可協議或使用說明。在將該模型用於公開、商業或專業場景前，建議您自行與模型作者確認其允許的使用範圍。,Lizenz nicht gefunden. Bestätige die erlaubte Nutzung mit dem Ersteller.,Licencia no encontrada. Confirmar el uso permitido con el creador.,Licence introuvable. Confirmez l'utilisation autorisée auprès du créateur.,Az engedély nem található. Az engedélyezett felhasználás megerősítése az alkotóval.,ライセンスが見つかりません。使用許可は制作者に確認してください。,라이센스를 찾을 수 없습니다. 제작자에게 허용된 사용을 확인하세요.,Лицензия не найдена. Подтвердите разрешенное использование у создателя.
LicensePopup.Close,Close,关闭,關閉,Schließen,Cerrar,Fermer,Közeli,閉じる,닫다,Закрывать
MainMenu.Editor.OpenExportFolder,Open Export Folder,打开输出文件夹,開啟輸出資料夾,Exportordner öffnen,Abrir carpeta de exportación,Ouvrir le dossier d'exportation,Nyissa meg az Exportálás mappát,書き出しフォルダを開く,내보내기 폴더 열기,Открыть папку экспорта
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,加载内置模型角色示例,載入內建模型角色示例,Beispiel-Charaktere für integrierte Modelle laden,Cargar modelos de prueba para modelos integrados,Charger des exemples de caractères pour les modèles intégrés,Töltsön be mintakaraktereket a beépített modellekhez,組み込みモデルのサンプルキャラクターを読み込む,내장 모델의 샘플 문자 로드,Загрузка образцов символов для встроенных моделей
MainMenu.Settings.ModelSettings,Model Settings,模型设置,模型設定,Modelleinstellungen,Configuración del modelo,Paramètres du modèle,Modell beállításai,モデル設定,모델 설정,Настройки модели
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,保存角色数据,儲存角色資料,Charakterdaten werden gespeichert...,Guardando datos de personaje…,Enregistrement des données de personnage...,Karakteradatok mentése...,キャラクターデータを保存中…,캐릭터 데이터를 저장하는 중...,Сохранение данных персонажа...
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,加载角色,載入角色,Charakter wird geladen...,Cargando personaje...,Chargement du personnage...,Karakter betöltése...,キャラクターを読み込み中…,캐릭터 로딩중...,Загрузка персонажа...
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,第三方授权许可,第三方授權許可,Lizenzen Dritter,Licencias de terceros,Licences tierces,Harmadik fél licencei,外部ライセンス,제3자 라이센스,Лицензии третьих лиц
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),最终用户许可协议（EULA）,終端使用者許可協議（EULA）,Endbenutzer-Lizenzvereinbarung (EULA),Acuerdo de licencia de usuario final (EULA),Contrat de licence utilisateur final (CLUF),Végfelhasználói licencszerződés (EULA),エンドユーザーライセンス契約（EULA）,최종 사용자 라이센스 계약(EULA),Лицензионное соглашение с конечным пользователем (EULA)
MainMenu.Info.Documentation,Documentation,帮助文档,幫助文件,Dokumentation,Documentación,Documentation,Dokumentáció,ドキュメント,선적 서류 비치,Документация
MainMenu.Info.Discord,Join Our Discord,加入我们的Discord,加入我們的Discord,Tritt unserem Discord bei,Únete a nuestro Discord,Rejoignez notre Discord,Csatlakozz Discordunkhoz,Discordに参加,우리의 불화에 동참하세요,Присоединяйтесь к нашему дискорду
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",此预设会设置正确的格式和尺寸。过长的动画可能会超出平台文件大小限制，某些内容可能不被特定平台允许。,此預設會設定正確的格式和尺寸。過長的動畫可能會超出平臺檔案大小限制，某些內容可能不被特定平臺允許。,Diese Voreinstellung legt das richtige Format und die richtigen Abmessungen fest. Sehr lange Animationen können die Dateigrößenbeschränkungen der Plattform überschreiten und einige Plattformen schränken bestimmte Inhalte ein.,Este ajuste preestablecido establece el formato y las dimensiones correctos. Las animaciones muy largas pueden exceder los límites de tamaño o de archivo de la plataforma y algunas plataformas restringen cierto contenido.,"Ce préréglage définit le format et les dimensions corrects. Les animations très longues peuvent dépasser les limites de taille de fichier de la plateforme, et certaines plateformes restreignent certains contenus.","Ez az előbeállítás beállítja a megfelelő formátumot és méreteket. A nagyon hosszú animációk meghaladhatják a platform fájlméret-korlátait, és egyes platformok korlátoznak bizonyos tartalmakat.",このプリセットは適切な形式とサイズを設定します。非常に長いアニメーションはプラットフォームのファイルサイズ制限を超える場合があります。また、一部のプラットフォームでは特定のコンテンツが制限される場合があります。,이 사전 설정은 올바른 형식과 크기를 설정합니다. 매우 긴 애니메이션은 플랫폼 파일 크기 제한을 초과할 수 있으며 일부 플랫폼에서는 특정 콘텐츠를 제한합니다.,"Этот пресет устанавливает правильный формат и размеры. Очень длинные анимации могут превышать ограничения размера файла платформы, а некоторые платформы ограничивают определенный контент."
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,打开本地模型文件夹,開啟本地模型資料夾,Lokalen Modellordner öffnen,Abrir carpeta de modelo local,Ouvrir le dossier de modèle local,Nyissa meg a Helyi Modell mappát,ローカルモデルフォルダを開く,로컬 모델 폴더 열기,Открыть локальную папку модели
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,打开角色文件夹,開啟角色資料夾,Charakterordner öffnen,Abrir carpeta de personajes,Ouvrir le dossier des personnages,Nyissa meg a Karakter mappát,キャラクターフォルダを開く,캐릭터 폴더 열기,Открыть папку персонажей
MainMenu.Info.Log,Open Log Folder,打开程序运行日志,開啟程式執行日誌,Protokollordner öffnen,Abrir carpeta de registro,Ouvrir le dossier de journal,Nyissa meg a Napló mappát,ログフォルダを開く,로그 폴더 열기,Открыть папку журнала
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,使用全局颜色表,使用全域性顏色表,Verwendung der globalen Farbtabelle,Usando tabla de colores globales,Utilisation de la table de couleurs globale,Globális színtábla használata,グローバルカラーテーブルを使用,전역 색상표 사용,Использование глобальной таблицы цветов
MainMenu.Editor.ExportStatic,Export Static Image,导出静态图片,匯出靜態圖片,Statisches Bild exportieren,Exportar imagen estática,Exporter une image statique,Statikus kép exportálása,静止画像を書き出し,정적 이미지 내보내기,Экспорт статического изображения
MainMenu.Editor.Player.Speed,Speed,播放速度,播放速度,Geschwindigkeit,Velocidad,Vitesse,Sebesség,速度,속도,Скорость
MainMenu.Settings.StaticImageSettings,Static Image Settings,静态图片输出设置,靜態圖片輸出設定,Statische Bildeinstellungen,Configuración de imagen estática,Paramètres d'image statique,Statikus képbeállítások,静止画設定,정적 이미지 설정,Настройки статического изображения
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,重置静态图片输出设置,重置靜態圖片輸出設定,Statische Bildeinstellungen zurücksetzen,Restablecer configuración de imagen estática,Réinitialiser les paramètres d'image statique,Állítsa vissza a statikus képbeállításokat,静止画設定をリセット,정적 이미지 설정 재설정,Сбросить настройки статического изображения
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,取样频率,取樣頻率,Abtastrate,Tasa de muestreo,Taux d'échantillonnage,Mintavételi sebesség,サンプリングレート,샘플링 속도,Частота выборки
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,这个选项允许您在内置贴图和自定义贴图间切换。,這個選項允許您在內建貼圖和自定義貼圖間切換。,Mit diesem Schalter kannst du zwischen der internen und der benutzerdefinierten Textur wechseln,Este interruptor le permite cambiar entre la textura interna y la personalizada.,Cette bascule vous permet de basculer entre la texture interne et la texture personnalisée,Ezzel a kapcsolóval válthat a belső és az egyéni textúra között,この操作で初期テクスチャとカスタムテクスチャを切り替えられます,이 토글을 사용하면 내부 텍스처와 사용자 정의 텍스처 사이를 전환할 수 있습니다.,Этот переключатель позволяет переключаться между внутренней и пользовательской текстурой.
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,编辑自定义贴图文件夹中的PNG图像，保留透明度保存且不要改变尺寸。,編輯自定義貼圖資料夾中的PNG影像，保留透明度儲存且不要改變尺寸。,Bearbeite die PNGs im Ordner „Custom Texture“. Speichere mit Transparenz und ändere die Bildgröße nicht,Edita los PNG en la carpeta Textura personalizada. Guarda con transparencia y no modifiques el tamaño de la imagen.,Modifiez les fichiers PNG dans le dossier Texture personnalisée. Enregistrez avec transparence et ne modifiez pas la taille de l'image,"Szerkessze a PNG-ket az Egyéni textúra mappában. Mentse átlátszósággal, és ne módosítsa a képméretet",Custom Textureフォルダ内のPNGを編集してください。透過状態で保存し、画像サイズは変更しないでください,Custom Texture 폴더에서 PNG를 편집합니다. 투명하게 저장하고 이미지 크기를 수정하지 마세요.,Отредактируйте PNG в папке «Пользовательская текстура». Сохраняйте с прозрачностью и не изменяйте размер изображения.
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",编辑完成后，点击此按钮应用修改。,編輯完成後，點選此按鈕應用修改。,"Nachdem du deine Änderungen gespeichert hast, klicke auf diesen Knopf, um die Änderungen auf dein Modell anzuwenden.","Después de guardar tus cambios, presiona este botón para aplicar los cambios a tu modelo.","Après avoir enregistré vos modifications, cliquez sur ce bouton pour appliquer les modifications à votre modèle.","A módosítások mentése után kattintson erre a gombra, hogy alkalmazza a módosításokat a modellen.",編集を保存した後、このボタンを押すとモデルに変更が適用されます,편집 내용을 저장한 후 이 버튼을 클릭하면 모델에 변경 사항이 적용됩니다.,"После сохранения изменений нажмите эту кнопку, чтобы применить изменения к вашей модели."
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,保存您的角色。保存按钮在左侧角色列表下方。,儲存您的角色。儲存按鈕在左側角色列表下方。,"Speichere deinen Charakter. Der ""Speichern""-Knopf befindet sich unterhalb der Charakterliste auf der linken Seite der Oberfläche.",Guarda tu personaje. El botón para guardar se encuentra debajo de la lista de personajes en el lado izquierdo de la interfaz.,Enregistrez votre personnage. Le bouton Enregistrer est situé sous la liste des personnages sur le côté gauche de l'interface.,Mentsd meg a karaktered. A mentés gomb a karakterlista alatt található a felület bal oldalán.,キャラクターを保存してください。保存ボタンは画面左側のキャラクターリストの下にあります,캐릭터를 저장하세요. 저장 버튼은 인터페이스 왼쪽의 캐릭터 목록 아래에 있습니다.,Сохраните своего персонажа. Кнопка сохранения расположена под списком персонажей в левой части интерфейса.
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,请在使用前完整阅读手册使用自定义贴图章节。,請在使用前完整閱讀手冊使用自定義貼圖章節。,"Bitte lies das Handbuch „Verwenden benutzerdefinierter Texturen“, bevor du diese Funktion verwendest.",Por favor lee el manual para usar texturas personalizadas antes de utilizar esta función.,Veuillez lire le manuel Utilisation de textures personnalisées avant d'utiliser cette fonctionnalité.,"Kérjük, olvassa el az Egyéni textúrák használata kézikönyvet a funkció használata előtt.",この機能を使用する前に「カスタムテクスチャの使用」マニュアルを確認してください,이 기능을 사용하기 전에 사용자 정의 텍스처 사용 매뉴얼을 읽어보십시오.,Перед использованием этой функции прочтите руководство «Использование пользовательских текстур».
MainMenu.Editor.Texture.CustomTexture,Custom Texture,自定义贴图,自定義貼圖,Benutzerdefinierte Textur,Textura personalizada,Texture personnalisée,Egyedi textúra,カスタムテクスチャ,사용자 정의 텍스처,Пользовательская текстура
MainMenu.Editor.Texture.Step1,Step 1,第一步,第一步,Schritt 1,Paso 1,Étape 1,1. lépés,ステップ1,1단계,Шаг 1
MainMenu.Editor.Texture.Step2,Step 2,第二步,第二步,Schritt 2,Paso 2,Étape 2,2. lépés,ステップ2,2단계,Шаг 2
MainMenu.Editor.Texture.Step3,Step 3,第三步,第三步,Schritt 3,Paso 3,Étape 3,3. lépés,ステップ3,3단계,Шаг 3
MainMenu.Editor.Texture.Step4,Step 4,第四步,第四步,Schritt 4,Paso 4,Étape 4,4. lépés,ステップ4,4단계,Шаг 4
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,修复选中图集部件边缘,修復選中圖集部件邊緣,Ausgewählte Kontur korrigieren,Corregir el contorno seleccionado,Corriger le contour sélectionné,Javítsa ki a kiválasztott körvonalat,選択した輪郭を修正,선택한 윤곽선 수정,Исправить выбранный контур
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,重置选中图集,重置選中圖集,Ausgewählten Atlas zurücksetzen,Corregir el atlas seleccionado,Réinitialiser l'Atlas sélectionné,Állítsa vissza a kiválasztott atlaszt,選択したアトラスをリセット,선택한 아틀라스 재설정,Сбросить выбранный атлас
MainMenu.Editor.Texture.TextureUtility,Texture Utility,贴图工具,貼圖工具,Textur-Werkzeug,Utilidad de texturas,Utilitaire de textures,Texture Utility,テクスチャツール,텍스처 유틸리티,Утилита текстур
