AnimationName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru
ANIM/Dum-Sticker-2,Dum Sticker 2,Dum Sticker 2,呆(贴纸) 2,呆(貼紙) 2,Dum-Aufkleber 2,"Post-it ""Dumb"" 2",Autocollant Dum 2,Dum matrica 2,ほげステッカー2,덤 스티커 2,Дум стикер 2
ANIM/Dum-Sticker-3,Dum Sticker 3,Dum Sticker 3,呆(贴纸) 3,呆(貼紙) 3,Dum-Aufkleber 3,"Post-it ""Dumb""3",Autocollant Dum 3,Dum matrica 3,ほげステッカー3,덤 스티커 3,Дум Стикер 3
ANIM/Exclamation,Exclamation,Exclamation,叹号,歎號,Ausrufezeichen,Exclamación,Exclamation,Felkiáltás,びっくり,감탄,восклицательный знак
ANIM/Jail-1,Jail 1,Jail 1,坐牢 1,坐牢 1,Gefängnis 1,Cárcel 1,Prison 1,Börtön 1,牢屋1,감옥 1,Тюрьма 1
ANIM/Jail-2,Jail 2,Jail 2,坐牢 2,坐牢 2,Gefängnis 2,Cárcel 2,Prison 2,Börtön 2,牢屋2,감옥 2,Тюрьма 2
ANIM/Knife-1,Knife 1,Knife 1,刀 1,刀 1,Messer 1,Cuchillo 1,Couteau 1,Kés 1,ナイフ1,칼 1,Нож 1
ANIM/Knife-2,Knife 2,Knife 2,刀 2,刀 2,Messer 2,Cuchillo 2,Couteau 2,Kés 2,ナイフ2,칼 2,Нож 2
ANIM/Laugh,Laugh,Laugh,笑,笑,Lachen,Riendo,Rire,Nevetés,笑い顔,웃다,Смех
ANIM/Lick,Lick,Lick,舔舔,舔舔,Lecken,Lamiendo,Lécher,Nyalás,ぺろり,핥다,Лизать
ANIM/Lightstick-1,Lightstick 1,Lightstick 1,荧光棒 1,熒光棒 1,Leuchtstab 1,Lightstick 1,Bâton lumineux 1,Lightstick 1,ペンライト1,응원봉 1,Лайтстик 1
ANIM/Lightstick-2,Lightstick 2,Lightstick 2,荧光棒 2,熒光棒 2,Leuchtstab 2,Lightstick 2,Bâton lumineux 2,Lightstick 2,ペンライト2,응원봉 2,Лайтстик 2
ANIM/Lurk-1,Lurk 1,Lurk 1,冒泡 1,冒泡 1,Lurken 1,Lurkeo 1,Cachez-vous 1,Lappangás 1,ちらっ1,러크 1,Скрываться 1
ANIM/Lurk-2,Lurk 2,Lurk 2,冒泡 2,冒泡 2,Lurken 2,Lurkeo 2,Cachez-vous 2,Lappangás 2,ちらっ2,러크 2,Скрываться 2
ANIM/Luv-1,Luv 1,Luv 1,爱心 1,愛心 1,Liebe 1,Amor 1,Amour 1,Luv 1,ラブ1,러브 1,любовь 1
ANIM/Luv-2,Luv 2,Luv 2,爱心 2,愛心 2,Liebe 2,Amor 2,Amour 2,Luv 2,ラブ2,러브 2,любовь 2
ANIM/Luv-3,Luv 3,Luv 3,爱心 3,愛心 3,Liebe 3,Amor 3,Amour 3,Luv 3,ラブ3,러브 3,любовь 3
ANIM/Money,Money,Money,钱,錢,Geld,Dinero,Argent,Pénz,お金,돈,Деньги
ANIM/Mute-1,Mute 1,Mute 1,静音 1,靜音 1,Stumm 1,Muteado 1,Muet 1,Némítás 1,ミュート1,음소거 1,Отключить звук 1
ANIM/Mute-2,Mute 2,Mute 2,静音 2,靜音 2,Stumm 2,Muteado 2,Muet 2,Némítás 2,ミュート2,음소거 2,Без звука 2
ANIM/Nervous-1,Nervous 1,Nervous 1,紧张 1,緊張 1,Nervös 1,Nervioso 1,Nerveux 1,Ideges 1,ドキドキ1,긴장 1,Нервный 1
ANIM/Nervous-2,Nervous 2,Nervous 2,紧张 2,緊張 2,Nervös 2,Nervioso 2,Nerveux 2,Ideges 2,ドキドキ2,긴장 2,Нервный 2
ANIM/Noted-1,Noted 1,Noted 1,记录 1,記錄 1,Notiz 1,Anotando 1,Noté 1,Megjegyezte 1,了解1,주목 1,Отмечено 1
ANIM/Noted-2,Noted 2,Noted 2,记录 2,記錄 2,Notiz 2,Anotando 2,Noté 2,Megjegyezte 2,了解2,주목2,Отмечено 2
ANIM/Pat,Pat,Pat,摸头,摸頭,Streicheln,Palmadita,Tapoter,Pat,なでなで,가볍게 두드리기,Пэт
ANIM/Point,Point,Point,指,指,Zeigen,Apuntar,Indiquer,Pont,指さし,가리키다,Точка
ANIM/Question,Question,Question,问号,問號,Frage,Pregunta,Question,Kérdés,はてな,질문,Вопрос
ANIM/Raid-1,Raid 1,Raid 1,Raid 1,Raid 1,Raid 1,Raid 1,Raid 1,Raid 1,レイド1,레이드 1,Рейд 1
ANIM/Raid-2,Raid 2,Raid 2,Raid 2,Raid 2,Raid 2,Raid 2,Raid 2,Raid 2,レイド2,레이드 2,Рейд 2
ANIM/RedPacket-1,RedPacket 1,RedPacket 1,红包 1,紅包 1,Glücksumschlag 1,Sobre rojo 1,Paquet rouge 1,RedPacket 1,お年玉1,레드패킷 1,РедПакет 1
ANIM/RedPacket-2,RedPacket 2,RedPacket 2,红包 2,紅包 2,Glücksumschlag 2,Sobre rojo 2,Paquet rouge 2,RedPacket 2,お年玉2,레드패킷 2,РедПакет 2
ANIM/Rose,Rose,Rose,玫瑰,玫瑰,Rose,Rosa,Rose,Rózsa,バラ,장미,Роза
ANIM/Score-0Point,Score (0 Point),Score (0 Point),得分(0分),得分(0分),Punkte (0),Puntuación (0 puntos),Score (0 point),Pontszám (0 pont),採点（0点）,점수(0점),Оценка (0 очков)
ANIM/Score-10Point,Score (10 Point),Score (10 Point),得分(10分),得分(10分),Punkte (10),Puntuación (10 puntos),Score (10 points),Pontszám (10 pont),採点（10点）,점수(10점),Оценка (10 баллов)
ANIM/Shy-1,Shy 1,Shy 1,害羞 1,害羞 1,Schüchtern 1,Tímido 1,Timide 1,Félénk 1,照れ顔1,수줍음 1,Застенчивый 1
ANIM/Shy-2,Shy 2,Shy 2,害羞 2,害羞 2,Schüchtern 2,Tímido 2,Timide 2,Félénk 2,照れ顔2,수줍음 2,Застенчивый 2
ANIM/Sleep-Normal,Sleep (Normal),Sleep (Normal),睡觉(普通),睡覺(普通),Schlaf (Normal),Dormir (Normal),Sommeil (normal),Alvás (normál),寝る（通常）,수면(일반),Сон (нормальный)
ANIM/Sleep-Preparing-Stage1,Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),睡觉(准备阶段1),睡覺(準備階段1),Schlaf (Vorbereitung 1),Dormir (Preparación 1),Sommeil (étape de préparation 1),Alvás (1. előkészítési szakasz),寝る（準備1）,수면(1단계 준비),Сон (подготовительный этап 1)
ANIM/Sleep-Preparing-Stage2,Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),睡觉(准备阶段2),睡覺(準備階段2),Schlaf (Vorbereitung 2),Dormir (Preparación 2),Sommeil (étape de préparation 2),Alvás (2. előkészítési szakasz),寝る（準備2）,수면(2단계 준비),Сон (подготовительный этап 2)
ANIM/Sleep-UU,Sleep (UU),Sleep (UU),睡觉 (UU),睡覺 (UU),Schlaf (UU),Dormir (UU),Sommeil (UU),Alvás (UU),寝る（すやすや）,수면(UU),Сон (УУ)
ANIM/Sparkling,Sparkling,Sparkling,期待,期待,Funkeln,Centelleante,Pétillant,Szikrázó,キラキラ,스파클링,Игристый
ANIM/Surprise,Surprise,Surprise,惊吓,驚嚇,Überraschung,Sorpresa,Surprendre,Meglepetés,びっくり顔,놀라다,Сюрприз
ANIM/Sweat,Sweat,Sweat,汗,汗,Schweiß,Sudor,Transpirer,Izzad,冷や汗,땀,Пот
ANIM/ThumbDown,Thumb Down,Thumb Down,反向点赞,反向點贊,Daumen runter,Pulgar hacia abajo,Pouce vers le bas,Lefelé hüvelykujj,よくないね,아래로 엄지손가락,Большой палец вниз
ANIM/ThumbUp,Thumb Up,Thumb Up,点赞,點贊,Daumen hoch,Pulgar hacia arriba,Pouce vers le haut,Menj fel,いいね,엄지손가락을 위로,Большой палец вверх
ANIM/Type-Angry,Type Angry,Type Angry,打字(生气),打字(生氣),Tippen Wütend,Escribiendo enojado,Tapez en colère,Írd be: Dühös,タイピング（怒り）,화난 유형,Тип Злой
ANIM/Type-Annoyed,Type Annoyed,Type Annoyed,打字(恼怒),打字(惱怒),Tippen Genervt,Escribiendo molesto,Type Ennuyé,Típus Bosszús,タイピング（イライラ）,짜증나는 유형,Тип Раздраженный
ANIM/Type-Normal,Type Normal,Type Normal,打字(普通),打字(普通),Tippen Normal,Escribiendo normal,Type Normal,Normál típus,タイピング（通常）,유형 일반,Тип Нормальный
ANIM/Work-Angry,Work Angry,Work Angry,工作(生气),工作(生氣),Arbeit Wütend,Trabajando enojado,Travailler en colère,Work Angry,作業（怒り）,화가 나서 일하다,Работа Злой
ANIM/Work-Nap,Work Nap,Work Nap,工作(小睡),工作(小睡),Arbeit Nickerchen,Dormido trabajando,Sieste de travail,Munkaszünet,作業（居眠り）,일하다 낮잠,Рабочий сон
ANIM/Work-Normal,Work Normal,Work Normal,工作(普通),工作(普通),Arbeit Normal,Trabajando Normal,Travail normal,Normál munkavégzés,作業（通常）,정상근무,Работает нормально
ANIM/Work-Tired,Work Tired,Work Tired,工作(疲倦),工作(疲倦),Arbeit Müde,Trabajando cansado,Travailler fatigué,Munka fáradt,作業（疲れ）,일하다 피곤하다,Усталость от работы
ANIM/Bell,Bell,Bell,摇铃,搖鈴,Glocke,Campana,Cloche,Harang,ベル,벨,Белл
ANIM/Cake,Cake,Cake,蛋糕,蛋糕,Kuchen,Pastel,Gâteau,Torta,ケーキ,케이크,Торт
ANIM/Caught-Phone,Caught in 4K (Phone),Caught in 4K (Phone),抓拍(手机),抓拍(手機),Gefangen in 4K (Telefon),Captado en 4K (teléfono),Pris en 4K (téléphone),4K-ban rögzítve (telefon),4K で撮影 (携帯電話),4K에 포착됨(전화),Снято в 4K (телефон)
ANIM/Caught-VideoCamera,Caught in 4K (Video Camera),Caught in 4K (Video Camera),抓拍(摄像机),抓拍(攝像機),Aufgenommen in 4K (Videokamera),Captado en 4K (cámara de vídeo),Pris en 4K (caméra vidéo),4K-ban rögzítve (videokamera),4K（ビデオカメラ）で撮影,4K로 포착(비디오 카메라),Снято в 4K (видеокамера)
ANIM/Celebration,Celebration,Celebration,庆祝,慶祝,Feier,Celebración,Célébration,Ünneplés,お祝い,축하,Праздник
ANIM/Head-Nod,Head Nod,Head Nod,点头,點頭,Kopfnicken,Asentir con la cabeza,Hochement de tête,Fej bólint,うなずく,고개 끄덕임,кивок головой
ANIM/Head-Shake,Head Shake,Head Shake,摇头,搖頭,Kopfschütteln,Sacudir la cabeza,Secousse de tête,Fej rázza,首を振る,머리 흔들기,покачивание головой
ANIM/Hypnosis,Hypnosis,Hypnosis,催眠,催眠,Hypnose,Hipnosis,Hypnose,Hipnózis,催眠術,최면,Гипноз
ANIM/Laugh-Point,Laugh (Point),Laugh (Point),笑(指),笑(指),Lachen (Punkt),Reír (punto),Rire (pointer),Nevetés (pont),笑い（ポイント）,웃음(포인트),Смейся (Точка)
ANIM/LoveLetter,Love Letter,Love Letter,情书,情書,Liebesbrief,carta de amor,Lettre d'amour,Szerelmeslevél,ラブレター,연애 편지,Любовное письмо
ANIM/NeedFood,Need Food,Need Food,要米,要米,Brauchen Sie Essen,Necesito comida,Besoin de nourriture,Élelmiszer kell,食べ物が必要です,음식이 필요해,Нужна еда
ANIM/PNGTuber-Idle,PNGTuber Idle,PNGTuber Idle,PNGTuber 闲置,PNGTuber 閒置,PNGTuber im Leerlauf,PNGTuber inactivo,PNGTuber inactif,PNGTuber Idle,PNGTuberアイドル,PNGTuber 유휴 상태,PNGТубер бездействующий
ANIM/PNGTuber-Idle2,PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber 闲置 2,PNGTuber 閒置 2,PNGTuber Idle 2,PNGTuber inactivo 2,PNGTuber Inactif 2,PNGTuber Idle 2,PNGTuber アイドル 2,PNGTuber 유휴 2,PNGTuber Idle 2
ANIM/PNGTuber-Talk,PNGTuber Talk,PNGTuber Talk,PNGTuber 说话,PNGTuber 說話,PNGTuber-Talk,Charla de Tuber,Discussion sur les tubercules PNG,PNGTuber Talk,PNGTuber トーク,PNGTuber 토크,PNGTuber Talk
ANIM/PNGTuber-Talk2,PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber 说话 2,PNGTuber 說話 2,PNGTuber Talk 2,Charla de Tuber 2,PNGTuber Discussion 2,PNGTuber Talk 2,PNGTuber トーク 2,PNGTuber 토크 2,PNGTuber Talk 2
ANIM/PNGTuber-Yap,PNGTuber Yap,PNGTuber Yap,PNGTuber 说教,PNGTuber 說教,PNGTuber Yap,PNGTuber Yap,PNGTuber Yap,PNGTuber Yap,PNGチューバー ヤップ,PNGTuber 얍,PNGТубер Яп
ANIM/Popcat-Frame,Popcat Frame,Popcat Frame,Popcat 帧,Popcat 幀,Popcat-Rahmen,Marco de gato pop,Cadre Popcat,Popcat keret,ポップキャットフレーム,팝캣 프레임,Попкэт Рамка
ANIM/Popcat-Smooth,Popcat Smooth,Popcat Smooth,Popcat 平滑,Popcat 平滑,Popcat glatt,Gato suave,Popcat Lisse,Popcat Smooth,ポップキャットスムーズ,팝캣 스무스,Попкэт Гладкий
ANIM/Sing,Sing,Sing,唱歌,唱歌,Singen,Cantar,Chanter,Énekel,歌う,노래하다,Петь
ANIM/Tablet,Tablet,Tablet,画板,畫板,Tablette,Tableta,Comprimé,Tabletta,錠剤,태블릿,Таблетка
ANIM/TailWag,Tail Wag,Tail Wag,雨刮器尾巴,雨刮器尾巴,Schwanzwedeln,Meneo de cola,Remuer la queue,Tail Wag,テールワグ,꼬리 흔들기,Виляние хвостом
