GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru
HornFront,Horn Front,Horn Front,角 前,角 前,Horn vorne,Frente de bocina,Corne avant,Horn Front,角 前,혼 프론트,Рог спереди
Mecha,Mecha,Mecha,机械,機械,Mecha,mecha,Mécha,Mecha,メカ,메카,Меха
OutfitInnerCollar,Outfit Collar Inner,Outfit Collar Inner,服装 领子 里侧,服裝 領子 裏側,Outfit-Kragen innen,Interior del cuello del traje.,Tenue Col Intérieur,Outfit gallér belső,襟 内側,의상 칼라 내부,Внутренний воротник наряда
OutfitInner,Outfit Inner,Outfit Inner,服装 里侧,服裝 裏側,Outfit innen,Conjunto interior,Tenue intérieure,Outfit belső,服 内側,의상 내부,Внутренний наряд
OutfitOuter,Outfit Outer,Outfit Outer,服装 外侧,服裝 外側,Outfit außen,Traje exterior,Tenue extérieure,Outfit Outer,服 外側,의상 아우터,Наряд Внешний
NeckwearA,Outfit Neckwear A,Outfit Neckwear A,服装 颈部装饰 A,服裝 頸部裝飾 A,Outfit Halsschmuck A,Traje Corbatas A,Tenue Cravate A,Outfit Neckwear A,首の衣装A,아웃핏 넥웨어 A,Наряд Галстук А
NeckwearB,Outfit Neckwear B,Outfit Neckwear B,服装 颈部装饰 B,服裝 頸部裝飾 B,Outfit Halsschmuck B,Conjunto Corbatas B,Tenue Cravate B,Outfit Neckwear B,首の衣装B,아웃핏 넥웨어 B,Наряд Галстук Б
NeckwearC,Outfit Neckwear C,Outfit Neckwear C,服装 颈部装饰 C,服裝 頸部裝飾 C,Outfit Halsschmuck C,Conjunto Corbatas C,Tenue Cravate C,Outfit Neckwear C,首の衣装C,아웃핏 넥웨어 C,Наряд Галстук C
SideHairBranchLeftA,Hair Side Branch >> A,Hair Side Branch >> A,头发 侧面分叉 >> A,頭髮 側面分叉 >> A,Haarseitenzweig >> A,Rama lateral del cabello >> A,Branche latérale des cheveux >> A,Haj oldalág >> A,横髪 ハネ >> A,헤어사이드 브랜치 >> A,Боковая ветвь волос >> A
SideHairBranchLeftB,Hair Side Branch >> B,Hair Side Branch >> B,头发 侧面分叉 >> B,頭髮 側面分叉 >> B,Haarseitenzweig >> B,Rama lateral del cabello >> B,Branche latérale des cheveux >> B,Haj oldalág >> B,横髪 ハネ >> B,헤어사이드브랜치 >> B,Боковая ветвь волос >> B
SideHairBranchLeftC,Hair Side Branch >> C,Hair Side Branch >> C,头发 侧面分叉 >> C,頭髮 側面分叉 >> C,Haarseitenzweig >> C,Rama lateral del cabello >> C,Branche latérale des cheveux >> C,Haj oldalág >> C,横髪 ハネ >> C,헤어사이드 브랜치 >> C,Боковая ветвь волос >> C
SideHairBranchRightA,Hair Side Branch << A,Hair Side Branch << A,头发 侧面分叉 << A,頭髮 側面分叉 << A,Haarseitenzweig << A,Rama lateral del cabello << A,Branche latérale des cheveux << A,Haj oldalág << A,横髪 ハネ << A,헤어사이드 브랜치 << A,Боковая ветвь волос << A
SideHairBranchRightB,Hair Side Branch << B,Hair Side Branch << B,头发 侧面分叉 << B,頭髮 側面分叉 << B,Haarseitenzweig << B,Rama lateral del cabello << B,Branche latérale des cheveux << B,Haj oldalág << B,横髪 ハネ << B,헤어사이드 브랜치 << B,Боковая ветвь волос << B
SideHairBranchRightC,Hair Side Branch << C,Hair Side Branch << C,头发 侧面分叉 << C,頭髮 側面分叉 << C,Haarseitenzweig << C,Rama lateral del cabello << C,Branche latérale des cheveux << C,Haj oldalág << C,横髪 ハネ << C,헤어사이드 브랜치 << C,Боковая ветвь волос << C
Tail,Tail,Tail,尾巴,尾巴,Schwanz,Cola,Queue,Farok,しっぽ,꼬리,Хвост
Wing,Wing,Wing,翅膀,翅膀,Flügel,Ala,Aile,Szárny,翼,비행,Крыло
